# GeoNames first-order administrative divisions — admin1CodesASCII.txt
# Source: https://download.geonames.org/export/dump/admin1CodesASCII.txt
# Licence: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Vendored so data/cities.js regenerates without a network call, and so
# the region on a record is looked up rather than inferred.
# Columns: <country>.<adminCode>  <name>  <asciiName>  <geonameId>
AD.06	Sant Julià de Loria	Sant Julia de Loria
DM.05	Saint John	Saint John
DM.04	Saint George	Saint George
DM.03	Saint David	Saint David
DM.02	Saint Andrew	Saint Andrew
DO.27	Valverde	Valverde
DO.26	Santiago Rodríguez	Santiago Rodriguez
DO.25	Santiago	Santiago
DO.24	San Pedro de Macorís	San Pedro de Macoris
DO.23	San Juan	San Juan
DO.33	San Cristóbal	San Cristobal
DO.21	Sánchez Ramírez	Sanchez Ramirez
DO.20	Samaná	Samana
DO.19	Hermanas Mirabal	Hermanas Mirabal
DO.18	Puerto Plata	Puerto Plata
DO.35	Peravia	Peravia
DO.16	Pedernales	Pedernales
DO.34	Nacional	Nacional
DO.32	Monte Plata	Monte Plata
DO.15	Monte Cristi	Monte Cristi
DO.31	Monseñor Nouel	Monsenor Nouel
DO.14	María Trinidad Sánchez	Maria Trinidad Sanchez
DO.30	La Vega	La Vega
DO.12	La Romana	La Romana
DO.10	La Altagracia	La Altagracia
DO.09	Independencia	Independencia
DO.29	Hato Mayor	Hato Mayor
DO.08	Espaillat	Espaillat
DO.28	El Seíbo	El Seibo
DO.11	Elías Piña	Elias Pina
DO.06	Duarte	Duarte
DO.04	Dajabón	Dajabon
DO.03	Barahona	Barahona
DO.02	Baoruco	Baoruco
DO.01	Azua	Azua
DO.36	San José de Ocoa	San Jose de Ocoa
DO.37	Santo Domingo	Santo Domingo
DZ.15	Tlemcen	Tlemcen
DZ.14	Tizi Ouzou	Tizi Ouzou
DZ.56	Tissemsilt	Tissemsilt
DZ.55	Tipaza	Tipaza
DZ.54	Tindouf	Tindouf
DZ.13	Tiaret	Tiaret
DZ.33	Tébessa	Tebessa
DZ.53	Tamanghasset	Tamanghasset
DZ.52	Souk Ahras	Souk Ahras
DZ.31	Skikda	Skikda
DZ.30	Sidi Bel Abbès	Sidi Bel Abbes
DZ.12	Sétif	Setif
DZ.10	Saïda	Saida
DZ.51	Relizane	Relizane
DZ.29	Oum el Bouaghi	Oum el Bouaghi
DZ.50	Ouargla	Ouargla
DZ.09	Oran	Oran
DZ.49	Naama النعامة	Wilaya de Naama
DZ.27	Mʼsila	Wilaya de M'Sila
DZ.07	Mostaganem	Mostaganem
DZ.48	Mila	Mila
DZ.06	Médéa	Medea
DZ.26	Mascara	Mascara
DZ.25	Laghouat	Laghouat
DZ.47	Khenchela	Khenchela
DZ.24	Jijel	Jijel
DZ.46	Illizi	Illizi
DZ.23	Guelma	Guelma
DZ.45	Ghardaïa	Ghardaia
DZ.44	El Tarf	El Tarf
DZ.43	El Oued	El Oued
DZ.42	El Bayadh	El Bayadh
DZ.22	Djelfa	Djelfa
DZ.04	Constantine	Constantine
DZ.41	Chlef	Chlef
DZ.40	Boumerdes	Boumerdes
DZ.21	Bouira	Bouira
DZ.39	Bordj Bou Arréridj	Bordj Bou Arreridj
DZ.20	Blida	Blida
DZ.19	Biskra	Biskra
DZ.18	Bejaïa	Bejaia
DZ.38	Béchar	Bechar
DZ.03	Batna	Batna
DZ.37	Annaba	Annaba
DZ.01	Alger	Alger
DZ.36	Aïn Temouchent	Ain Temouchent
DZ.35	Aïn Defla	Ain Defla
DZ.34	Adrar	Adrar
EC.20	Zamora-Chinchipe	Zamora-Chinchipe
EC.19	Tungurahua	Tungurahua
EC.18	Pichincha	Pichincha
EC.17	Pastaza	Pastaza
EC.23	Napo	Napo
EC.15	Morona-Santiago	Morona-Santiago
EC.14	Manabí	Manabi
EC.13	Los Ríos	Los Rios
EC.12	Loja	Loja
EC.11	Imbabura	Imbabura
EC.10	Guayas	Guayas
EC.01	Galápagos	Galapagos
EC.09	Esmeraldas	Esmeraldas
EC.08	El Oro	El Oro
EC.07	Cotopaxi	Cotopaxi
EC.06	Chimborazo	Chimborazo
EC.05	Carchi	Carchi
EC.04	Cañar	Canar
EC.03	Bolívar	Bolivar
EC.02	Azuay	Azuay
EC.22	Sucumbios	Sucumbios
EC.24	Orellana	Orellana
EC.26	Santo Domingo de los Tsáchilas	Santo Domingo de los Tsachilas
EC.25	Santa Elena	Santa Elena
EE.21	Võrumaa	Vorumaa
EE.20	Viljandimaa	Viljandimaa
EE.19	Valgamaa	Valgamaa
EE.18	Tartu	Tartu
EE.14	Saare	Saare
EE.13	Raplamaa	Raplamaa
EE.12	Põlvamaa	Polvamaa
EE.11	Pärnumaa	Paernumaa
EE.08	Lääne-Virumaa	Laeaene-Virumaa
EE.07	Lääne	Laeaene
EE.05	Jõgevamaa	Jogevamaa
EE.04	Järvamaa	Jaervamaa
EE.03	Ida-Virumaa	Ida-Virumaa
EE.02	Hiiumaa	Hiiumaa
EE.01	Harju	Harju
EG.24	Sūhāj	Suhaj
EG.27	Shamāl Sīnāʼ	Muhafazat Shamal Sina'
EG.23	Qinā	Qina
EG.22	Maţrūḩ	Matruh
EG.21	Kafr ash Shaykh	Kafr ash Shaykh
EG.26	South Sinai	South Sinai
EG.20	Dumyāţ	Dumyat
EG.19	Būr Sa‘īd	Bur Sa'id
EG.18	Banī Suwayf	Bani Suwayf
EG.17	Asyūţ	Asyut
EG.16	Aswān	Aswan
EG.15	As Suways	As Suways
EG.14	Eastern Province	Eastern Province
EG.13	Al Wādī al Jadīd	Al Wadi al Jadid
EG.12	Al Qalyūbīyah	Al Qalyubiyah
EG.11	Al Qāhirah	Al Qahirah
EG.10	Al Minyā	Al Minya
EG.09	Al Minūfīyah	Al Minufiyah
EG.08	Al Jīzah	Al Jizah
EG.07	Al Ismā‘īlīyah	Al Isma'iliyah
EG.06	Alexandria	Alexandria
EG.05	Al Gharbīyah	Al Gharbiyah
EG.04	Al Fayyūm	Al Fayyum
EG.03	Al Buḩayrah	Al Buhayrah
EG.02	Red Sea	Red Sea
EG.01	Ad Daqahlīyah	Ad Daqahliyah
EG.28	Luxor	Luxor
EH.CE	Oued Ed-Dahab-Lagouira	Oued Ed-Dahab-Lagouira
ER.01	Ānseba	Anseba
ER.02	Debub	Debub
ER.03	Debubawī Kʼeyih Bahrī	Southern Red Sea Region
ER.04	Gash Barka	Gash Barka
ER.05	Maʼākel	Maekel Region
ER.06	Semēnawī Kʼeyih Bahrī	Northern Red Sea Region
ES.31	Murcia	Murcia
ES.CE	Ceuta	Ceuta
ES.07	Balearic Islands	Balearic Islands
ES.51	Andalusia	Andalusia
ES.53	Canary Islands	Canary Islands
ES.54	Castille-La Mancha	Castille-La Mancha
ES.57	Extremadura	Extremadura
ES.60	Valencia	Valencia
ES.34	Asturias	Asturias
ES.32	Navarre	Navarre
ES.29	Madrid	Madrid
ES.27	La Rioja	La Rioja
ES.39	Cantabria	Cantabria
ES.52	Aragon	Aragon
ES.55	Castille and León	Castille and Leon
ES.56	Catalonia	Catalonia
ES.58	Galicia	Galicia
ES.59	Basque Country	Basque Country
ES.ML	Melilla	Melilla
ET.44	Ādīs Ābeba	Adis Abeba
ET.45	Āfar	Afar
ET.46	Amhara	Amhara
ET.47	Bīnshangul Gumuz	Binshangul Gumuz
ET.48	Dire Dawa	Dire Dawa
ET.49	Gambela	Gambela
ET.50	Harari	Harari
ET.51	Oromiya	Oromiya
ET.52	Somali	Somali
ET.53	Tigray	Tigray
ET.54	Southern Nations, Nationalities, and People's Region	Southern Nations, Nationalities, and People's Region
FI.19	Lapland	Lapland
FI.18	Kainuu	Kainuu
FI.17	Northern Ostrobothnia	Northern Ostrobothnia
FI.16	Central Ostrobothnia	Central Ostrobothnia
FI.15	Ostrobothnia	Ostrobothnia
FI.14	Southern Ostrobothnia	Southern Ostrobothnia
FI.13	Central Finland	Central Finland
FI.12	North Karelia	North Karelia
FI.11	Northern Savo	Northern Savo
FI.10	Southern Savonia	Southern Savonia
FI.09	South Karelia	South Karelia
FI.08	Kymenlaakso	Kymenlaakso
FI.06	Pirkanmaa	Pirkanmaa
FI.05	Häme	Haeme
FI.02	Varsinais-Suomi	Varsinais-Suomi
FI.01	Uusimaa	Uusimaa
FI.07	Päijänne Tavastia	Paijanne Tavastia
FI.04	Satakunta	Satakunta
FJ.05	Western	Western
FJ.03	Northern	Northern
FJ.01	Central	Central
FJ.02	Eastern	Eastern
FJ.04	Rotuma	Rotuma
FJ.8617786	Kadavu	Kadavu
FM.04	Yap	Yap
FM.02	Pohnpei	Pohnpei
FM.01	Kosrae	Kosrae
FM.03	Chuuk	Chuuk
FO.VG	Vágar	Vagar
FO.SU	Suðuroy	Suduroy
FO.ST	Streymoy	Streymoy
FO.SA	Sandoy	Sandoy
FO.NO	Norðoyar	Nordoyar
FO.OS	Eysturoy	Eysturoy
FR.B9	Rhône-Alpes	Rhone-Alpes
FR.B8	Provence-Alpes-Côte d'Azur	Provence-Alpes-Cote d'Azur
FR.B7	Poitou-Charentes	Poitou-Charentes
FR.B6	Picardie	Picardie
FR.B5	Pays de la Loire	Pays de la Loire
FR.B4	Nord-Pas-de-Calais	Nord-Pas-de-Calais
FR.B3	Midi-Pyrénées	Midi-Pyrenees
FR.B2	Lorraine	Lorraine
FR.B1	Limousin	Limousin
FR.A9	Languedoc-Roussillon	Languedoc-Roussillon
FR.A8	Île-de-France	Ile-de-France
FR.A7	Haute-Normandie	Haute-Normandie
FR.A6	Franche-Comté	Franche-Comte
FR.A5	Corsica	Corsica
FR.A4	Champagne-Ardenne	Champagne-Ardenne
FR.A3	Centre	Centre
FR.A2	Brittany	Brittany
FR.A1	Bourgogne	Bourgogne
FR.99	Lower Normandy	Lower Normandy
FR.98	Auvergne	Auvergne
FR.97	Aquitaine	Aquitaine
FR.C1	Alsace	Alsace
GA.09	Woleu-Ntem	Woleu-Ntem
GA.08	Ogooué-Maritime	Ogooue-Maritime
GA.07	Ogooué-Lolo	Ogooue-Lolo
GA.06	Ogooué-Ivindo	Ogooue-Ivindo
GA.05	Nyanga	Nyanga
GA.04	Ngounié	Ngounie
GA.03	Moyen-Ogooué	Moyen-Ogooue
GA.02	Haut-Ogooué	Haut-Ogooue
GA.01	Estuaire	Estuaire
GB.WLS	Wales	Wales
GB.SCT	Scotland	Scotland
GB.NIR	Northern Ireland	Northern Ireland
GB.ENG	England	England
GD.06	Saint Patrick	Saint Patrick
GD.05	Saint Mark	Saint Mark
GD.04	Saint John	Saint John
GD.03	Saint George	Saint George
GD.02	Saint David	Saint David
GD.01	Saint Andrew	Saint Andrew
GD.10	Carriacou and Petite Martinique	Carriacou and Petite Martinique
GE.51	T'bilisi	T'bilisi
GE.04	Ajaria	Ajaria
GE.68	Kvemo Kartli	Kvemo Kartli
GE.67	Kakheti	Kakheti
GE.65	Guria	Guria
GE.66	Imereti	Imereti
GE.73	Shida Kartli	Shida Kartli
GE.69	Mtskheta-Mtianeti	Mtskheta-Mtianeti
GE.70	Racha-Lechkhumi and Kvemo Svaneti	Racha-Lechkhumi and Kvemo Svaneti
GE.71	Samegrelo and Zemo Svaneti	Samegrelo and Zemo Svaneti
GE.72	Samtskhe-Javakheti	Samtskhe-Javakheti
GE.02	Abkhazia	Abkhazia
GF.GF	Guyane	Guyane
GG.6417213	St Pierre du Bois	St Pierre du Bois
GG.6417214	Torteval	Torteval
GG.6417215	Saint Saviour	Saint Saviour
GG.6417223	Forest	Forest
GG.6417224	St Martin	St Martin
GG.6417226	Saint Andrew	Saint Andrew
GG.6417228	St Peter Port	St Peter Port
GG.6417229	Castel	Castel
GG.6417230	Vale	Vale
GG.6417233	St Sampson	St Sampson
GH.09	Western	Western
GH.08	Volta	Volta
GH.11	Upper West	Upper West
GH.10	Upper East	Upper East
GH.06	Northern	Northern
GH.01	Greater Accra	Greater Accra
GH.05	Eastern	Eastern
GH.04	Central	Central
GH.03	Brong-Ahafo	Brong-Ahafo
GH.02	Ashanti	Ashanti
GL.05	Qaasuitsup	Qaasuitsup
GL.04	Kujalleq	Kujalleq
GL.06	Qeqqata	Qeqqata
GL.07	Sermersooq	Sermersooq
GM.05	Western	Western
GM.04	Upper River	Upper River
GM.07	North Bank	North Bank
GM.03	Central River	Central River
GM.02	Lower River	Lower River
GM.01	Banjul	Banjul
GN.04	Conakry	Conakry
GN.B	Boke	Boke
GN.F	Faranah	Faranah
GN.K	Kankan	Kankan
GN.D	Kindia	Kindia
GN.L	Labe	Labe
GN.M	Mamou	Mamou
GN.N	Nzerekore	Nzerekore
GP.GP	Guadeloupe	Guadeloupe
GQ.03	Annobón	Annobon
GQ.04	Bioko Norte	Bioko Norte
GQ.05	Bioko Sur	Bioko Sur
GQ.06	Centro Sur	Centro Sur
GQ.07	Kié-Ntem	Kie-Ntem
GQ.08	Litoral	Litoral
GQ.09	Wele-Nzas	Wele-Nzas
GR.736572	Mount Athos	Mount Athos
GR.ESYE31	Attica	Attica
GR.ESYE24	Central Greece	Central Greece
GR.ESYE12	Central Macedonia	Central Macedonia
GR.ESYE43	Crete	Crete
GR.ESYE11	East Macedonia and Thrace	East Macedonia and Thrace
GR.ESYE21	Epirus	Epirus
GR.ESYE22	Ionian Islands	Ionian Islands
GR.ESYE41	North Aegean	North Aegean
GR.ESYE25	Peloponnese	Peloponnese
GR.ESYE42	South Aegean	South Aegean
GR.ESYE14	Thessaly	Thessaly
GR.ESYE23	West Greece	West Greece
GR.ESYE13	West Macedonia	West Macedonia
GT.22	Zacapa	Zacapa
GT.21	Totonicapán	Totonicapan
GT.20	Suchitepeque	Suchitepeque
GT.19	Sololá	Solola
GT.18	Santa Rosa	Santa Rosa
GT.17	San Marcos	San Marcos
GT.16	Sacatepéquez	Sacatepequez
GT.15	Retalhuleu	Retalhuleu
GT.14	Quiché	Quiche
GT.13	Quetzaltenango	Quetzaltenango
GT.12	Petén	Peten
GT.11	Jutiapa	Jutiapa
GT.10	Jalapa	Jalapa
GT.09	Izabal	Izabal
GT.08	Huehuetenango	Huehuetenango
GT.07	Guatemala	Guatemala
GT.06	Escuintla	Escuintla
GT.05	El Progreso	El Progreso
GT.04	Chiquimula	Chiquimula
GT.03	Chimaltenango	Chimaltenango
GT.02	Baja Verapaz	Baja Verapaz
GT.01	Alta Verapaz	Alta Verapaz
GU.PI	Piti	Piti
GU.SR	Santa Rita	Santa Rita
GU.SJ	Sinajana	Sinajana
GU.TF	Talofofo	Talofofo
GU.TM	Tamuning	Tamuning
GU.UM	Umatac	Umatac
GU.YG	Yigo	Yigo
GU.YN	Yona	Yona
GU.ME	Merizo	Merizo
GU.MA	Mangilao	Mangilao
GU.AH	Agana Heights	Agana Heights
GU.CP	Chalan Pago-Ordot	Chalan Pago-Ordot
GU.AS	Asan	Asan
GU.AT	Agat	Agat
GU.DD	Dededo	Dededo
GU.BA	Barrigada	Barrigada
GU.AN	Hagatna	Hagatna
GU.IN	Inarajan	Inarajan
GU.MT	Mongmong-Toto-Maite	Mongmong-Toto-Maite
GW.07	Tombali	Tombali
GW.02	Quinara	Quinara
GW.04	Oio	Oio
GW.10	Gabú	Gabu
GW.06	Cacheu	Cacheu
GW.05	Bolama and Bijagos	Bolama and Bijagos
GW.11	Bissau	Bissau
GW.12	Biombo	Biombo
GW.01	Bafatá	Bafata
GY.19	Upper Takutu-Upper Essequibo	Upper Takutu-Upper Essequibo
GY.18	Upper Demerara-Berbice	Upper Demerara-Berbice
GY.17	Potaro-Siparuni	Potaro-Siparuni
GY.16	Pomeroon-Supenaam	Pomeroon-Supenaam
GY.15	Mahaica-Berbice	Mahaica-Berbice
GY.14	Essequibo Islands-West Demerara	Essequibo Islands-West Demerara
GY.13	East Berbice-Corentyne	East Berbice-Corentyne
GY.12	Demerara-Mahaica	Demerara-Mahaica
GY.11	Cuyuni-Mazaruni	Cuyuni-Mazaruni
GY.10	Barima-Waini	Barima-Waini
HK.NYL	Yuen Long	Yuen Long
HK.NTW	Tsuen Wan	Tsuen Wan
HK.NTP	Tai Po	Tai Po
HK.NSK	Sai Kung	Sai Kung
HK.NIS	Islands	Islands
HK.HCW	Central and Western	Central and Western
HK.HWC	Wanchai	Wanchai
HK.HEA	Eastern	Eastern
HK.HSO	Southern	Southern
HK.KYT	Yau Tsim Mong	Yau Tsim Mong
HK.KSS	Sham Shui Po	Sham Shui Po
HK.KKC	Kowloon City	Kowloon City
HK.KWT	Wong Tai Sin	Wong Tai Sin
HK.KKT	Kwon Tong	Kwon Tong
HK.NKT	Kwai Tsing	Kwai Tsing
HK.NTM	Tuen Mun	Tuen Mun
HK.NNO	North	North
HK.NST	Sha Tin	Sha Tin
HN.18	Yoro	Yoro
HN.17	Valle	Valle
HN.16	Santa Bárbara	Santa Barbara
HN.15	Olancho	Olancho
HN.14	Ocotepeque	Ocotepeque
HN.13	Lempira	Lempira
HN.12	La Paz	La Paz
HN.11	Bay Islands	Bay Islands
HN.10	Intibucá	Intibuca
HN.09	Gracias a Dios	Gracias a Dios
HN.08	Francisco Morazán	Francisco Morazan
HN.07	El Paraíso	El Paraiso
HN.06	Cortés	Cortes
HN.05	Copán	Copan
HN.04	Comayagua	Comayagua
HN.03	Colón	Colon
HN.02	Choluteca	Choluteca
HN.01	Atlántida	Atlantida
HR.01	Bjelovarsko-Bilogorska	Bjelovarsko-Bilogorska
HR.02	Brodsko-Posavska	Brodsko-Posavska
HR.03	Dubrovačko-Neretvanska	Dubrovacko-Neretvanska
HR.04	Istarska	Istarska
HR.05	Karlovačka	Karlovacka
HR.06	Koprivničko-Križevačka	Koprivnicko-Krizevacka
HR.07	Krapinsko-Zagorska	Krapinsko-Zagorska
HR.08	Ličko-Senjska	Licko-Senjska
HR.09	Međimurska	Medimurska
HR.10	Osječko-Baranjska	Osjecko-Baranjska
HR.11	Požeško-Slavonska	Pozesko-Slavonska
HR.12	Primorsko-Goranska	Primorsko-Goranska
HR.13	Šibensko-Kniniska	Sibensko-Kniniska
HR.14	Sisačko-Moslavačka	Sisacko-Moslavacka
HR.15	Splitsko-Dalmatinska	Splitsko-Dalmatinska
HR.16	Varaždinska	Varazdinska
HR.18	Vukovarsko-Srijemska	Vukovarsko-Srijemska
HR.19	Zadarska	Zadarska
HR.20	Zagrebačka	Zagrebacka
HR.21	Grad Zagreb	Grad Zagreb
HR.17	Virovitičk-Podravska	Virovitick-Podravska
HT.13	Sud-Est	Sud-Est
HT.12	Sud	Sud
HT.11	Ouest	Ouest
HT.03	Nord-Ouest	Nord-Ouest
HT.10	Nord-Est	Nord-Est
HT.09	Nord	Nord
HT.14	GrandʼAnse	Grandans
HT.07	Centre	Centre
HT.06	Artibonite	Artibonite
HT.15	Nippes	Nippes
HU.18	Szabolcs-Szatmár-Bereg	Szabolcs-Szatmar-Bereg
HU.20	Jász-Nagykun-Szolnok	Jasz-Nagykun-Szolnok
HU.11	Heves	Heves
HU.10	Hajdú-Bihar	Hajdu-Bihar
HU.06	Csongrád	Csongrad
HU.04	Borsod-Abaúj-Zemplén	Borsod-Abauj-Zemplen
HU.03	Bekes	Bekes
HU.24	Zala	Zala
HU.23	Veszprém	Veszprem
HU.22	Vas	Vas
HU.21	Tolna	Tolna
HU.17	Somogy	Somogy
HU.16	Pest	Pest
HU.14	Nógrád	Nograd
HU.12	Komárom-Esztergom	Komarom-Esztergom
HU.09	Győr-Moson-Sopron	Gyor-Moson-Sopron
HU.08	Fejér	Fejer
HU.05	Budapest	Budapest
HU.02	Baranya	Baranya
HU.01	Bács-Kiskun	Bacs-Kiskun
ID.26	North Sumatra	North Sumatra
ID.01	Aceh	Aceh
ID.10	Daerah Istimewa Yogyakarta	Daerah Istimewa Yogyakarta
ID.32	South Sumatra	South Sumatra
ID.24	West Sumatra	West Sumatra
ID.31	North Sulawesi	North Sulawesi
ID.22	Sulawesi Tenggara	Sulawesi Tenggara
ID.21	Central Sulawesi	Central Sulawesi
ID.38	South Sulawesi	South Sulawesi
ID.37	Riau	Riau
ID.18	East Nusa Tenggara	East Nusa Tenggara
ID.17	West Nusa Tenggara	West Nusa Tenggara
ID.28	Maluku	Maluku
ID.15	Lampung	Lampung
ID.14	East Kalimantan	East Kalimantan
ID.13	Central Kalimantan	Central Kalimantan
ID.12	South Kalimantan	South Kalimantan
ID.11	West Kalimantan	West Kalimantan
ID.08	East Java	East Java
ID.07	Central Java	Central Java
ID.30	West Java	West Java
ID.05	Jambi	Jambi
ID.04	Jakarta Raya	Jakarta Raya
ID.36	Papua	Papua
ID.03	Bengkulu	Bengkulu
ID.02	Bali	Bali
ID.33	Banten	Banten
ID.34	Gorontalo	Gorontalo
ID.35	Bangka–Belitung Islands	Bangka-Belitung Islands
ID.29	Maluku Utara	Maluku Utara
ID.39	West Papua	West Papua
ID.41	Sulawesi Barat	Sulawesi Barat
ID.40	Riau Islands	Riau Islands
ID.42	North Kalimantan	North Kalimantan
IE.C	Connaught	Connaught
IE.L	Leinster	Leinster
IE.M	Munster	Munster
IE.U	Ulster	Ulster
IL.06	Jerusalem	Jerusalem
IL.05	Tel Aviv	Tel Aviv
IL.04	Haifa	Haifa
IL.03	Northern District	Northern District
IL.02	Central District	Central District
IL.01	Southern District	Southern District
IN.28	West Bengal	West Bengal
IN.36	Uttar Pradesh	Uttar Pradesh
IN.26	Tripura	Tripura
IN.40	Telangana	Telangana
IN.25	Tamil Nadu	Tamil Nadu
IN.29	Sikkim	Sikkim
IN.24	Rajasthan	Rajasthan
IN.23	Punjab	Punjab
IN.22	Pondicherry	Pondicherry
IN.21	Odisha	Odisha
IN.20	Nagaland	Nagaland
IN.31	Mizoram	Mizoram
IN.18	Meghalaya	Meghalaya
IN.17	Manipur	Manipur
IN.16	Maharashtra	Maharashtra
IN.35	Madhya Pradesh	Madhya Pradesh
IN.14	Laccadives	Laccadives
IN.13	Kerala	Kerala
IN.19	Karnataka	Karnataka
IN.12	Kashmir	Kashmir
IN.11	Himachal Pradesh	Himachal Pradesh
IN.10	Haryana	Haryana
IN.09	Gujarāt	Gujarat
IN.32	Daman and Diu	Daman and Diu
IN.33	Goa	Goa
IN.07	NCT	NCT
IN.06	Dadra and Nagar Haveli	Dadra and Nagar Haveli
IN.05	Chandigarh	Chandigarh
IN.34	Bihar	Bihar
IN.03	Assam	Assam
IN.30	Arunachal Pradesh	Arunachal Pradesh
IN.02	Andhra Pradesh	Andhra Pradesh
IN.01	Andaman and Nicobar Islands	Andaman and Nicobar Islands
IN.37	Chhattisgarh	Chhattisgarh
IN.38	Jharkhand	Jharkhand
IN.39	Uttarakhand	Uttarakhand
IQ.02	Al Başrah	Al Basrah
IQ.16	Wāsiţ	Wasit
IQ.18	Şalāḩ ad Dīn	Salah ad Din
IQ.15	Nīnawá	Ninawa
IQ.14	Maysan	Maysan
IQ.12	Karbalāʼ	Muhafazat Karbala'
IQ.11	Arbīl	Arbil
IQ.10	Diyālá	Diyala
IQ.09	Dhi Qar	Dhi Qar
IQ.08	Dahūk	Dahuk
IQ.07	Mayorality of Baghdad	Mayorality of Baghdad
IQ.06	Bābil	Babil
IQ.13	At Taʼmīm	Muhafazat Kirkuk
IQ.05	As Sulaymānīyah	As Sulaymaniyah
IQ.17	An Najaf	An Najaf
IQ.04	Al Qādisīyah	Al Qadisiyah
IQ.03	Al Muthanná	Al Muthanna
IQ.01	Anbar	Anbar
IR.26	Tehrān	Tehran
IR.36	Zanjan	Zanjan
IR.40	Yazd	Yazd
IR.25	Semnān	Semnan
IR.35	Māzandarān	Mazandaran
IR.34	Markazi	Markazi
IR.23	Lorestān	Lorestan
IR.16	Kordestān	Kordestan
IR.05	Kohgīlūyeh va Būyer Aḩmad	Kohgiluyeh va Buyer Ahmad
IR.15	Khūzestān	Khuzestan
IR.13	Kermānshāh	Kermanshah
IR.29	Kermān	Kerman
IR.10	Īlām	Ilam
IR.11	Hormozgān	Hormozgan
IR.09	Hamadān	Hamadan
IR.08	Gīlān	Gilan
IR.07	Fārs	Fars
IR.03	Chahār Maḩāll va Bakhtīārī	Chahar Mahall va Bakhtiari
IR.22	Bushehr	Bushehr
IR.33	East Azarbaijan	East Azarbaijan
IR.01	Āz̄ārbāyjān-e Gharbī	Azarbayjan-e Gharbi
IR.32	Ardabīl	Ardabil
IR.28	Ostān-e Eşfahān	Ostan-e Esfahan
IR.37	Golestān	Golestan
IR.38	Qazvīn	Qazvin
IR.39	Qom	Qom
IR.04	Sīstān va Balūchestān	Sistan va Baluchestan
IR.41	Khorāsān-e Jonūbī	Khorasan-e Jonubi
IR.42	Razavi Khorasan	Razavi Khorasan
IR.43	Khorāsān-e Shomālī	Khorasan-e Shomali
IR.44	Alborz	Alborz
IS.41	Northwest	Northwest
IS.40	Northeast	Northeast
IS.38	East	East
IS.42	South	South
IS.39	Capital Region	Capital Region
IS.43	Southern Peninsula	Southern Peninsula
IS.45	West	West
IS.44	Westfjords	Westfjords
IT.15	Sicily	Sicily
IT.14	Sardinia	Sardinia
IT.03	Calabria	Calabria
IT.20	Veneto	Veneto
IT.19	Aosta Valley	Aosta Valley
IT.18	Umbria	Umbria
IT.17	Trentino-Alto Adige	Trentino-Alto Adige
IT.16	Tuscany	Tuscany
IT.13	Apulia	Apulia
IT.12	Piedmont	Piedmont
IT.11	Molise	Molise
IT.10	The Marches	The Marches
IT.09	Lombardy	Lombardy
IT.08	Liguria	Liguria
IT.07	Latium	Latium
IT.06	Friuli Venezia Giulia	Friuli Venezia Giulia
IT.05	Emilia-Romagna	Emilia-Romagna
IT.04	Campania	Campania
IT.02	Basilicate	Basilicate
IT.01	Abruzzo	Abruzzo
JE.3237072	St Clement	St Clement
JE.3237073	St Saviour	St Saviour
JE.3237200	St. Brelade	St. Brelade
JE.3237203	Grouville	Grouville
JE.3237212	St Mary	St Mary
JE.3237214	St Lawrence	St Lawrence
JE.3237221	St Peter	St Peter
JE.3237229	St Ouen	St Ouen
JE.3237497	St John	St John
JE.3237530	Trinity	Trinity
JE.3237716	St Martîn	St Martin
JE.3237864	St Helier	St Helier
JM.16	Westmoreland	Westmoreland
JM.15	Trelawny	Trelawny
JM.14	Saint Thomas	Saint Thomas
JM.13	Saint Mary	Saint Mary
JM.12	Saint James	Saint James
JM.11	St. Elizabeth	St. Elizabeth
JM.10	Saint Catherine	Saint Catherine
JM.09	Saint Ann	Saint Ann
JM.08	Saint Andrew	Saint Andrew
JM.07	Portland	Portland
JM.04	Manchester	Manchester
JM.17	Kingston	Kingston
JM.02	Hanover	Hanover
JM.01	Clarendon	Clarendon
JO.19	Ma’an	Ma'an
JO.18	Irbid	Irbid
JO.17	Zarqa	Zarqa
JO.12	Tafielah	Tafielah
JO.16	Amman	Amman
JO.15	Mafraq	Mafraq
JO.09	Karak	Karak
JO.02	Balqa	Balqa
JO.20	Ajlun	Ajlun
JO.22	Jerash	Jerash
JO.21	Aqaba	Aqaba
JO.23	Madaba	Madaba
JP.46	Yamanashi	Yamanashi
JP.45	Yamaguchi	Yamaguchi
JP.43	Wakayama	Wakayama
JP.42	Toyama	Toyama
JP.41	Tottori	Tottori
JP.40	Tōkyō	Tokyo
JP.39	Tokushima	Tokushima
JP.38	Tochigi	Tochigi
JP.37	Shizuoka	Shizuoka
JP.36	Shimane	Shimane
JP.35	Shiga	Shiga
JP.34	Saitama	Saitama
JP.33	Saga	Saga
JP.32	Ōsaka	Osaka
JP.47	Okinawa	Okinawa
JP.31	Okayama	Okayama
JP.30	Ōita	Oita
JP.29	Niigata	Niigata
JP.28	Nara	Nara
JP.27	Nagasaki	Nagasaki
JP.26	Nagano	Nagano
JP.25	Miyazaki	Miyazaki
JP.23	Mie	Mie
JP.22	Kyōto	Kyoto
JP.21	Kumamoto	Kumamoto
JP.20	Kōchi	Kochi
JP.19	Kanagawa	Kanagawa
JP.18	Kagoshima	Kagoshima
